id;first_name;gender;email;phone;address_line_1;address_line_2;city;user_id
1;Chelsey;OTHER;"5z*@7.=>hG<Z";014-991-5975 x53760;Tennessee relationships Ball;full-range;Parkerfort;2
2;Cierra;OTHER;"*b@*'X(].k^|";(832) 385-8607;violet Compatible primary;Credit Card Account;New Dalestad;2
3;Olen;MALE;"^w0]t@YsV.iL+b";830-122-7708 x1515;Central African Republic Georgia;Robust ivory Ports;Port Darienbury;2
4;Rey;OTHER;"Y@5'-II.>'5Gy`";494-882-9541;invoice;Savings Account;Leuschkeberg;1
5;Colt;MALE;";x[%p@}P.bsn[";1-252-895-4664 x99866;neural;e-business withdrawal;Port Tito;1
6;Edmond;OTHER;"'E,x|@Uk.Kfefoj";599.024.7087;Games orange transmit;hard drive Loaf;Melyssaville;1
7;Roselyn;OTHER;"S@syTK..]";844.108.0697;calculate turquoise;Graphical User Interface Rhode Island Mandatory;South Scot;2
8;Ivy;MALE;"4EAn~b@Q|9v.gX[-";(298) 989-8970;Lithuania radical;Frozen leading edge;Jakaylamouth;2
9;Adelle;MALE;"mIp#K>@[.S:~N";204-912-8426 x864;networks Montana;Pennsylvania Web Georgia;Noramouth;2
10;Raquel;MALE;"[\%`-9@edz(^\.!oH${";1-786-431-8366;Cambridgeshire Program;incentivize flexibility SDD;New Ella;2
